Year|Reviewer Name|Paper ID|Research Object|Explanation for Research Object|Evaluation Method|Explanation for Evaluation Method|Guideline of Evaluation type|Property|Property Instance|Explanation for Property Instance|Metric|Explanation for Metric|Research Question / Evaluation question|Tool Prototype|Input Data|Artifact Evaluation Package available for replication?|Threats To Validity (Raw)|Threat to Validity Guidelines|Manual Comments|paperType|Threats To Validity|Industry Paper
2016|Marco Ehl,Sebastian Hahner|Abukwaik2016|Architecture Analysis Method|"\""Automatic Identification\""|Experiment|As stated by the authors|none referenced|property-in-relation|Accuracy|As stated by the authors|Prescision|As stated by the authors|How effective and efficient would it be to use ML techniques in automating the extraction of COINs from text in API documentations?|used|none|no|Case bias, Completeness, Researcher bias|none referenced||full|Selection Bias, Generalizability, Evaluator Bias|no
2016|Marco Ehl,Sebastian Hahner|Abukwaik2016|Architecture Analysis Method|"\""Automatic Identification\""|Experiment|As stated by the authors|none referenced|property-in-relation|Accuracy|As stated by the authors|Recall|As stated by the authors|How effective and efficient would it be to use ML techniques in automating the extraction of COINs from text in API documentations?|used|none|no|Case bias, Completeness, Researcher bias|none referenced||full|Selection Bias, Generalizability, Evaluator Bias|no
2016|Marco Ehl,Sebastian Hahner|Abukwaik2016|Architecture Analysis Method|"\""Automatic Identification\""|Experiment|As stated by the authors|none referenced|property-in-relation|Accuracy|As stated by the authors|F-measure|As stated by the authors|How effective and efficient would it be to use ML techniques in automating the extraction of COINs from text in API documentations?|used|none|no|Case bias, Completeness, Researcher bias|none referenced||full|Selection Bias, Generalizability, Evaluator Bias|no
2020|Angelika Kaplan, Dominik Fuchß, Thomas Kühn|Aerts2020|Teaching||Questionnaire|mentioned in paper|none referenced|property-as-such|Trustworthiness|"interpreted as \""quality ensurance\"", extracted wording by the authors"|no||no rq / no eq|none|none|no|none|none referenced|Experience Report (30 years) as paper type, high miss-match|education and training|none|no
2016|Katharina Großer, Timur Sağlam|Agrawal2016|Architecture Optimization Method|Proposes a framework to introduce variability in the architecture to manipulate the architecture-level decisions, especially tactics|Motivating Example|Stated by the authors|none referenced|property-as-such|Performance|Stated by the authors (as it is fast to add quality through containers)|provisioning time|measures how fast (seconds) the new tactic is deployed on the VM|How to externally add a tactic to an application instance deployed on a virtual machine?|used|used|no|Missing Automation, No Support for Low Level Variation, Constraints regarding modeling quality attributes|none referenced||full|none|no
2016|Katharina Großer, Timur Sağlam|Agrawal2016|Architecture Optimization Method|Proposes a framework to introduce variability in the architecture to manipulate the architecture-level decisions, especially tactics|Motivating Example|Stated by the authors|none referenced|property-as-such|Feasibility|Stated by the authors (as applicability)|none|They only argue over the motivating example|How to externally add a tactic to an application instance deployed on a virtual machine?|used|used|no|Missing Automation, No Support for Low Level Variation, Constraints regarding modeling quality attributes|none referenced||full|none|no
2016|Katharina Großer, Timur Sağlam|Agrawal2016|Architecture pattern|The example illustrating the optimization approach is a scenario to improve availability with 3 different tactics compared.|Motivating Example|Stated by the authors|none referenced|property-in-relation|Performance|derived from metric|fault detection time|Time (seconds) it took the system to detect a given reference fault|How to externally add a tactic to an application instance deployed on a virtual machine?|used|used|no|Missing Automation, No Support for Low Level Variation, Constraints regarding modeling quality attributes|none referenced|The pattern are evaluated in the context of the Experiment on the optimization method. This leads to some results, but it is arguable, if in this weak evaluation this is a research object on its own. The reviewers have both no strong opinion on that|full|none|no
2016|Katharina Großer, Timur Sağlam|Agrawal2016|Architecture pattern|The example illustrating the optimization approach is a scenario to improve availability with 3 different tactics compared.|Motivating Example|Stated by the authors|none referenced|property-in-relation|Performance|derived from metric|fault recovery time|Time (seconds) it took the system to recover from a given reference fault|How to externally add a tactic to an application instance deployed on a virtual machine?|used|used|no|Missing Automation, No Support for Low Level Variation, Constraints regarding modeling quality attributes|none referenced|The pattern are evaluated in the context of the Experiment on the optimization method. This leads to some results, but it is arguable, if in this weak evaluation this is a research object on its own. The reviewers have both no strong opinion on that|full|none|no
2018|Marco Ehl, Jan-Philipp Töberg|Alkhabbas2018|Architecture Description|The authors describe an architectural approach to enable the automated formation and adaptation of Emergent Configurations (ECs) in the IoT|Experiment |Stated by the authors|none referenced|property-as-such|Performance|Stated by the authors|Response Time|Stated by the authors||available|used|no|none|none referenced||full|none|no
2018|Marco Ehl, Jan-Philipp Töberg|Alkhabbas2018|Architecture Description|The authors describe an architectural approach to enable the automated formation and adaptation of Emergent Configurations (ECs) in the IoT|Case Study|The authors describe their implemented prototype for a smart meeting room system|none referenced|property-as-such|Feasibility|Stated by the authors|none|||available|used|no|none|none referenced||full|none|no
2020|Timur Sağlam, Thomas Kühn|Almeida2020|Architecture Optimization Method|Authors propose a redesign process to identify candidate microservices in a monolithic architecture|Case Study|They evaluate their approach by applying it to two existing systems|none referenced|property-as-such |Effectiveness|They want to show that their approach can be used by architects to design functionalities in a microservices architecture|functionality migration cost |Counts the number of security issues|Is it possible to refine the complexity value associated with the monolith migration when there is additional information about the functionalities redesign?|none|available|no|Only a subset of functions validated, limited scope, generalizability (internal validity, external validity)|none referenced||full|Internal Validity, External Validity|no
2020|Timur Sağlam, Thomas Kühn|Almeida2020|Architecture Optimization Method||Case Study|They evaluate their approach by applying it to two existing systems|none referenced|property-as-such |Applicability||Number of operations||What set of operations can be provided to the architect such that the functionalities can be redesigned by applying the SAGA pattern?|none|available|no|Only a subset of functions validated, limited scope, generalizability (internal validity, external validity)|none referenced||full|Internal Validity, External Validity|no
2020|Timur Sağlam, Thomas Kühn|Almeida2020|Architecture Evolution||Case Study|They evaluate their approach by applying it to two existing systems|none referenced|property-as-such |Complexity||Feasibility Redesign Complexitiy||Is it possible to refine the complexity value associated with the mono- lith migration when there is additional information about the functionalities redesign?|none|available|no|Only a subset of functions validated, limited scope, generalizability (internal validity, external validity)|none referenced||full|Internal Validity, External Validity|no
2016|Matthias Lohr, Jan Keim|Alshara2016|Architecture Analysis Method||Motivating Example||none referenced|none|none||Argumentation|||none|used|no|none|none referenced|"They do not really evaluate their approach. They describe how they might do it and argue why this is correct and helpful etc. I do not know how to classify this other than \none|full|none|no
2018|Katharina Großer, Marco Ehl, Marco Konersmann|Antonino2018|Architecture Design Method|Investigates how virtual prototypes should be used to improve architecture specification and assessment in continuous software engineering contexts|Motivating Example|The authors only present experiences from industry motivating specific aspects of the approach + a hypothetical gitlab pipeline|none referenced|property-as-such|Feasibility|pipeline just illustrates possible integration, but no setting to derive any Performance or effectiveness properties|none|none mentioned, nothing measured|How should virtual prototypes be used to improve architecture specification and assessment in continuous software engineering contexts?|none|none|no|none|none referenced|RQ derived from text|full|none|yes
2018|Mahmood Al-Doori, Katharina Großer, Marco Konersmann|Arcaini2018|Architecture Description Language|This paper presents a domain-specific language, MAPE SpecificationLanguage (MSL), as modeling front-end to define and instantiate commonpatterns of interacting MAPE components when architecting theadaptation logic of a self-adaptive system, also semantic mapping to transform MSL description into formal executable models based on the formalism of self-adaptive ASMs.|Motivating Example|As stated by the authors / inspired by a previous Case Study|none referenced|property-in-relation|Completeness|as stated by the authors|none|none|none|available|used|yes|none|none referenced||full|none|no
2018|Mahmood Al-Doori, Katharina Großer, Marco Konersmann|Arcaini2018|Architecture Analysis Method|They show how this notation can be used to feed a backend for analysis |Motivating Example|As stated by the authors / inspired by a previous Case Study|none referenced|property-as-such|Feasibility|as stated by the authors |none|none|none|available|used|yes|none|none referenced||full|none|no
2018|Matthias Lohr, Mahmood Al-Doori, Marco Konersmann|Avritzer2018|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Scalability||domain metric|see comment||none|available|yes|subject bias|none referenced|"exact metric unclear (\""mass\""? \""domain metric\""?)"|full|Subject Bias, Evaluator Bias, Selection Bias|no
2018|Matthias Lohr, Mahmood Al-Doori, Marco Konersmann|Avritzer2018|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Scalability||domain metric|see comment||none|available|yes|evaluator bias|none referenced|"exact metric unclear (\""mass\""? \""domain metric\""?)"|full|Subject Bias, Evaluator Bias, Selection Bias|no
2018|Matthias Lohr, Mahmood Al-Doori, Marco Konersmann|Avritzer2018|Architecture Analysis Method||Case Study||none referenced|property-in-relation|Scalability||domain metric|see comment||none|available|yes|samples not representative|none referenced|"exact metric unclear (\""mass\""? \""domain metric\""?)"|full|Subject Bias, Evaluator Bias, Selection Bias|no
2017|Dominik Fuchss, Katharina Großer|Bhat2017|Architecture Analysis Method|automatically detect design decisions from issues|Case Study|ch 6: they apply different classifiers and configurations to issues from real worl project repositories|none referenced|property-as-such|Precision|ch 6: directly mentioned|precision|ch 6: directly mentioned|-|used|available|no|sample size|none referenced||full|Selection Bias, Generalizability|yes
2017|Dominik Fuchss, Katharina Großer|Bhat2017|Architecture Analysis Method|automatically detect design decisions from issues|Case Study|ch 6: they apply different classifiers and configurations to issues from real worl project repositories|none referenced|property-as-such|Precision|ch 6: directly mentioned|recall|ch 6: directly mentioned|-|used|available|no|samples not representative|none referenced||full|Selection Bias, Generalizability|yes
2017|Dominik Fuchss, Katharina Großer|Bhat2017|Architecture Analysis Method|automatically detect design decisions from issues|Case Study|ch 6: they apply different classifiers and configurations to issues from real worl project repositories|none referenced|property-as-such|Accuracy|ch 6: directly mentioned|F-Score|ch 6: directly mentioned|-|used|available|no|generalizability|none referenced||full|Selection Bias, Generalizability|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Extraction|"stated by authors (\""a platform for automatic extraction\"")"|Case Study|stated by authors|none referenced|property-as-such|Performance|stated by authors|Extraction Time|stated by authors (Data Collection RQ1)|Does the platform scale to real world industrial use cases?|used|used|no|Samples not representative|none referenced||full|Internal Validity, External Validity|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Extraction|"stated by authors (\""a platform for automatic extraction\"")"|Case Study|stated by authors|none referenced|property-as-such|Scalability|stated by authors|Extraction Time|none stated|Does the platform scale to real world industrial use cases?|used|used|no||none referenced||full|Internal Validity, External Validity|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Extraction|"stated by authors (\""a platform for automatic extraction\"")"|Case Study|stated by authors|none referenced|property-as-such|Trustworthiness|stated by authors|Precision|compared extracted architecture to prescriptive architecture|Is the extracted architecture information trustworthy?|used|used|no|Potential Quality Problems|none referenced||full|Internal Validity, External Validity|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Analysis Method|"stated by authors (\""provision of architectural information\"")"|Case Study|stated by authors|none referenced|property-as-such|Performance|stated by authors|Build Time|stated by authors (Data Collection RQ1)|Does the platform scale to real world industrial use cases?|used|used|no|Samples not representative|none referenced||full|Internal Validity, External Validity|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Analysis Method|"stated by authors (\""provision of architectural information\"")"|Case Study|stated by authors|none referenced|property-as-such|Scalability|stated by authors|Build Time|none stated|Does the platform scale to real world industrial use cases?|used|used|no||none referenced||full|Internal Validity, External Validity|yes
2018|Marco Konersmann, Thomas Kühn|Buchgeher2018|Architecture Analysis Method|"stated by authors (\""provision of architectural information\"")"|Case Study|stated by authors|none referenced|property-as-such|Trustworthiness|stated by authors|Precision|compared extracted architecture to prescriptive architecture|Is the extracted architecture information trustworthy?|used|used|no|Potential Quality Problems|none referenced||full|Internal Validity, External Validity|yes
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Effectiveness|failure rates, costs, etc.|Failure Rate|failure rate of combinations|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Effectiveness|failure rates, costs, etc.|Costs|overall costs of configurations of different levels of response time and reliability|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Effectiveness|failure rates, costs, etc.|Response time|best response time/ response time|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Effectiveness|failure rates, costs, etc.|Space size|problem instance size|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Effectiveness|failure rates, costs, etc.|Computation time|time for computation|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Performance|time metrics|Failure Rate|failure rate of combinations|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Performance|time metrics|Costs|overall costs of configurations of different levels of response time and reliability|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Performance|time metrics|Response time|best response time/ response time|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Performance|time metrics|Space size|problem instance size|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2017|Sophie Schulz, Matthias Lohr|Camara2017|Architecture Analysis Method|formal framework for specification-driven synthesis and analysis of design spaces|Experiment|stated by the authors|none referenced|property-as-such|Performance|time metrics|Computation time|time for computation|none|used|used|no|none|none referenced|no assignment of rq to eval|full|none|no
2020|Robert Heinrich, Timur Sağlam|Capilla2020|Teaching|Stated by the authors.|Experiment|Stated by the authors.|none referenced|property-as-such|Productivity|They evaluate how well the students are able to produce results for archtectural tasks|speed to arrive to agreements|Stated by the authors|How does consensus influence the decision-making process in collaborative environments?|none|none|no|lack of experience of students, Experiment might not be realistic, granularity of design decisions not studies|none referenced||education and training|none|no
2020|Robert Heinrich, Timur Sağlam|Capilla2020|Teaching|Stated by the authors.|Experiment|Stated by the authors.|none referenced|property-as-such|Productivity|They evaluate how well the students are able to produce results for archtectural tasks|number of decision challenged|Stated by the authors|Do reflective practices like the Mind1-2 model have a positive influence on design thinking?|none|none|no|lack of experience of students, Experiment might not be realistic, granularity of design decisions not studies|none referenced||education and training|none|no
2020|Robert Heinrich, Timur Sağlam|Capilla2020|Teaching|Stated by the authors.|Experiment|Stated by the authors.|none referenced|property-as-such|Productivity|They evaluate how well the students are able to produce results for archtectural tasks|additional effort requires|Stated by the authors|Do the decisions captured have any positive effect on software architecture modeling tasks?|none|none|no|lack of experience of students, Experiment might not be realistic, granularity of design decisions not studies|none referenced||education and training|none|no
2020|Dominik Fuchss,Sebastian Hahner|Caporuscio2020a|Architecture Description|"not sure whether its maybe a new \""architecture model\Experiment - Simulation/Benchmark|Experiment|"chapter 6: \""Experimental Evaluation\"" mentions a simulation"|none referenced|property-as-such|Effectiveness|"maybe also \""energy saving\"" .. But they call it effectiveness afai understand"|self defined|mentioned in chap 6|how to devise a decentralized architecture that supports the dynamic building of a fully resolved assembly of distributed services, collectively fulfilling functional requirements while minimizing the energy consumption, in an open and variable execution environment.|available|available|yes|none|none referenced|Question has been stated in the paper explicitly|full|Internal Validity, External Validity|no
2020|Thomas Kühn, Jan Keim|Caporuscio2020b|Architecture Design Method||Case Study||none referenced|property-as-such|Effectiveness||Argumentation||How to define and achieve a long-term strategy for adopting DTO?|none|used|no|none|none referenced||full|none|yes
2020|Thomas Kühn, Jan Keim|Caporuscio2020b|Architecture Design Method||Case Study||none referenced|property-as-such|Productivity||Argumentation||[How] to systematically evolve the DTO to reflect [structural] changes?|none|used|no|none|none referenced||full|none|yes
2019|Thomas Kühn, Marco Ehl|Castellanos2019|Architecture Design Method||Questionnaire|As stated by the authors|kitchenham2008personal|property-in-relation|Productivity||Responses||What are the practices, methods, techniques, and tools used in BDA development and deployment?|used|used|no|construct validity, internal validity, external validity, and reliability|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability|no
2019|Thomas Kühn, Marco Ehl|Castellanos2019|Architecture Evolution||Questionnaire|As stated by the authors|kitchenham2008personal|property-in-relation|Productivity||Number of selections||What are the main challenges faced in BDA development and deployment?|used|used|no|construct validity, internal validity, external validity, and reliability|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability|no
2019|Thomas Kühn, Marco Ehl|Castellanos2019|Architecture Evolution||Questionnaire|As stated by the authors|kitchenham2008personal|property-in-relation|Productivity||Likert scale||What are the main quality attributes considered in BDA modeling, evaluation, and deployment stages?|used|used|no|construct validity, internal validity, external validity, and reliability|none referenced||full|Construct Validity, Internal Validity, External Validity, Reliability|no
