Year|Paper ID|Evaluation Guideline|Threats to Validity Guideline
2016|Abukwaik2016|none referenced|none referenced
2016|Agrawal2016|none referenced|none referenced
2016|Alshara2016|none referenced|none referenced
2016|Cavalcante2016|none referenced|none referenced
2016|Gerostathopoulos2016|none referenced|none referenced
2016|Kapto2016|none referenced|none referenced
2016|Mesli-Kesraoui2016|none referenced, books.daglib.0029933|runeson2009
2016|Oquendo2016|none referenced|none referenced
2016|Schmerl2016|none referenced|none referenced
2016|Schriek2016|none referenced|Cohen1968
2016|Schroeder2016|1509301|Gasson2004
2017|Bhat2017|none referenced|none referenced
2017|Camara2017|none referenced|none referenced
2017|Digkas2017|none referenced|none referenced
2017|Filho2017|none referenced|none referenced
2017|Haselboeck2017|wieringa2014design|Seaman2008, Gasson2004
2017|Nguyen2017|none referenced|none referenced
2017|Sharaf2017|none referenced|none referenced
2017|Yang2017|runeson2009|runeson2009
2017|Zalewski2017|none referenced|none referenced
2018|Alkhabbas2018|none referenced|none referenced
2018|Antonino2018|none referenced|none referenced
2018|Arcaini2018|none referenced|none referenced
2018|Avritzer2018|none referenced|none referenced
2018|Buchgeher2018|none referenced|none referenced
2018|Christensen2018|none referenced|none referenced
2018|Heijenk2018|runeson2009, none referenced|yin1994case
2018|Martini2018|runeson2009|runeson2009
2018|Oquendo2018|none referenced|none referenced
2018|Power2018|yin2015qualitative , none referenced|none referenced
2018|Schneider2018|10.1145.2188286.2188319|none referenced
2018|Spray2018|none referenced|none referenced
2018|Tuma2018|none referenced |none referenced
2018|Weyns2018|none referenced|none referenced
2019|Castellanos2019|kitchenham2008personal|none referenced
2019|Malakuti2019|none referenced|none referenced
2019|Malki2019|zdun2018guiding, glaser1967 , charmaz2014|none referenced
2019|Mattos2019|none referenced|none referenced
2019|Mayrhofer2019|Oreizy2008|none referenced
2019|Musil2019|Runeson2012|none referenced
2019|Ntentos2019|none referenced|none referenced
2019|Nunes2019|none referenced|none referenced
2019|Pigazzini2019a|none referenced|none referenced
2019|Power2019|none referenced|none referenced
2019|Sanctis2019|none referenced|none referenced
2019|Soezer2019|none referenced|none referenced
2019|Waegemann2019|none referenced|none referenced
2019|Wu2018|none referenced|none referenced
2019|Yasaweerasinghelage2019|none referenced|none referenced
2020|Aerts2020|none referenced|none referenced
2020|Almeida2020|none referenced|none referenced
2020|Capilla2020|none referenced|none referenced
2020|Caporuscio2020a|none referenced|none referenced
2020|Caporuscio2020b|none referenced|none referenced
2020|Chondamrongkul2020|none referenced|none referenced
2020|Cruz2020|none referenced|none referenced
2020|Dias2020|none referenced|none referenced
2020|Giaimo2020|wieringa2014|none referenced
2020|Islam2020|none referenced|none referenced
2020|Koziolek2020|none referenced|none referenced
2020|Malakuti2020|none referenced|none referenced
2020|Matias2020|none referenced|none referenced
2020|Moghaddam2020|none referenced|none referenced
2020|Ntentos2020|garousi2019guidelines , none referenced, corbin1990grounded|none referenced
2020|Sanctis2020|none referenced|none referenced
2020|Verdecchia2020|glaser1967, glaser1978, stol2016|none referenced
2020|Werle2020|none referenced|none referenced
