Year|Paper ID|Industry Paper|Evaluation Methods
2016|Abukwaik2016|no|Experiment
2016|Agrawal2016|no|Motivating Example
2016|Alshara2016|no|Motivating Example
2016|Cavalcante2016|no|Case Study
2016|Gerostathopoulos2016|no|Experiment
2016|Kapto2016|no|Case Study
2016|Mesli-Kesraoui2016|yes|Case Study,Interview
2016|Oquendo2016|no|Field Experiment
2016|Schmerl2016|no|Benchmark,Motivating Example
2016|Schriek2016|no|User Study
2016|Schroeder2016|no|Interview
2017|Bhat2017|yes|Case Study
2017|Camara2017|no|Experiment
2017|Digkas2017|no|Benchmark,Mining Software Repositories
2017|Filho2017|no|Case Study,Interview
2017|Haselboeck2017|yes|Case Study,Literature Review
2017|Nguyen2017|no|Motivating Example
2017|Sharaf2017|no|Case Study
2017|Yang2017|yes|Case Study
2017|Zalewski2017|no|Questionnaire
2018|Alkhabbas2018|no|Case Study,Experiment 
2018|Antonino2018|yes|Motivating Example
2018|Arcaini2018|no|Motivating Example
2018|Avritzer2018|no|Case Study
2018|Buchgeher2018|yes|Case Study
2018|Christensen2018|no|Case Study,Questionnaire
2018|Heijenk2018|yes|Interview,Literature Review
2018|Martini2018|yes|Case Study,Case Study,Questionnaire
2018|Oquendo2018|no|Field Experiment
2018|Power2018|yes|Focus Group,Questionnaire
2018|Schneider2018|no|Case Study
2018|Spray2018|no|Case Study,Verification
2018|Tuma2018|no|User Study
2018|Weyns2018|yes|Case Study
2019|Castellanos2019|no|Questionnaire
2019|Malakuti2019|yes|Argumentation
2019|Malki2019|no|Grounded Theory
2019|Mattos2019|no|Field Experiment
2019|Mayrhofer2019|yes|Argumentation
2019|Musil2019|no|Case Study
2019|Ntentos2019|yes|Grounded Theory
2019|Nunes2019|no|Case Study
2019|Pigazzini2019a|yes|Argumentation,Case Study
2019|Power2019|yes|Questionnaire
2019|Sanctis2019|no|Case Study
2019|Soezer2019|no|Case Study
2019|Waegemann2019|no|Case Study
2019|Wu2018|yes|Case Study
2019|Yasaweerasinghelage2019|no|Case Study
2020|Aerts2020|no|Questionnaire
2020|Almeida2020|no|Case Study
2020|Capilla2020|no|Experiment
2020|Caporuscio2020a|no|Experiment
2020|Caporuscio2020b|yes|Case Study
2020|Chondamrongkul2020|no|Benchmark
2020|Cruz2020|no|Case Study
2020|Dias2020|no|Benchmark,Motivating Example
2020|Giaimo2020|no|Case Study
2020|Islam2020|no|Motivating Example
2020|Koziolek2020|yes|Experiment
2020|Malakuti2020|yes|Case Study
2020|Matias2020|no|Case Study,Questionnaire
2020|Moghaddam2020|yes|Case Study
2020|Ntentos2020|yes|Argumentation,Grounded Theory,Mining Software Repositories
2020|Sanctis2020|no|Experiment 
2020|Verdecchia2020|no|By construction,Grounded Theory
2020|Werle2020|no|Case Study
