Year|Paper ID|Tool Prototype|Input Data|Replication Package
2016|Abukwaik2016|used|none|no
2016|Agrawal2016|used|used|no
2016|Alshara2016|none|used|no
2016|Cavalcante2016|available|none|no
2016|Gerostathopoulos2016|available|used|no
2016|Kapto2016|used|available|no
2016|Mesli-Kesraoui2016|used|used|no
2016|Oquendo2016|none|none|no
2016|Schmerl2016|used|used|no
2016|Schriek2016|none|none|no
2016|Schroeder2016|none|available|yes
2017|Bhat2017|used|available|no
2017|Camara2017|used|used|no
2017|Digkas2017|available|available|yes
2017|Filho2017|available|available|Yes
2017|Haselboeck2017|none|used|no
2017|Nguyen2017|used|none|no
2017|Sharaf2017|used|none|no
2017|Yang2017|none|none|no
2017|Zalewski2017|none|none|no
2018|Alkhabbas2018|available|used|no
2018|Antonino2018|none|none|no
2018|Arcaini2018|available|used|yes
2018|Avritzer2018|none|available|yes
2018|Buchgeher2018|used|used|no
2018|Christensen2018|used|used|no
2018|Heijenk2018|none|none|no
2018|Martini2018|used|used|no
2018|Oquendo2018|used|none|no
2018|Power2018|none|used|no
2018|Schneider2018|available|none|no
2018|Spray2018|none|used|no
2018|Tuma2018|available|none|yes
2018|Weyns2018|used|used|no
2019|Castellanos2019|used|used|no
2019|Malakuti2019|none|none|no
2019|Malki2019|available|available|no
2019|Mattos2019|used|used|no
2019|Mayrhofer2019|none|none|no
2019|Musil2019|none|available|Yes
2019|Ntentos2019|none|available|no
2019|Nunes2019|available|available|yes
2019|Pigazzini2019a|available|available|no
2019|Power2019|none|used|no
2019|Sanctis2019|none|none|no
2019|Soezer2019|none|available|no
2019|Waegemann2019|used|used|no
2019|Wu2018|none|none|no
2019|Yasaweerasinghelage2019|used|used|no
2020|Aerts2020|none|none|no
2020|Almeida2020|none|available|no
2020|Capilla2020|none|none|no
2020|Caporuscio2020a|available|available|yes
2020|Caporuscio2020b|none|used|no
2020|Chondamrongkul2020|available|available|yes
2020|Cruz2020|available|used|no
2020|Dias2020|used|used|no
2020|Giaimo2020|used|used|no
2020|Islam2020|available|available|yes
2020|Koziolek2020|available|available|no
2020|Malakuti2020|none|none|no
2020|Matias2020|available|none|no
2020|Moghaddam2020|used|used|no
2020|Ntentos2020|available|available|yes
2020|Sanctis2020|used|available|no
2020|Verdecchia2020|none|none|no
2020|Werle2020|used|none|no
