Year|Paper ID|Research Object
2016|Abukwaik2016|Architecture Analysis Method
2016|Agrawal2016|Architecture Optimization Method
2016|Agrawal2016|Architecture pattern
2016|Alshara2016|Architecture Analysis Method
2016|Cavalcante2016|Architecture Description Language
2016|Gerostathopoulos2016|Architecture Optimization Method
2016|Kapto2016|Architecture Analysis Method
2016|Mesli-Kesraoui2016|Architecture Analysis Method
2016|Oquendo2016|Architecture Description Language
2016|Schmerl2016|Architecture Description
2016|Schriek2016|Architecture Optimization Method
2016|Schroeder2016|Architecture Design Method
2017|Bhat2017|Architecture Analysis Method
2017|Camara2017|Architecture Analysis Method
2017|Digkas2017|Architecture Evolution
2017|Filho2017|Architecture Description Language
2017|Haselboeck2017|Architecture Decision Making
2017|Nguyen2017|Architecture Analysis Method
2017|Sharaf2017|Architecture Design Method
2017|Yang2017|Architectural Assumptions
2017|Zalewski2017|Architecture Decision Making
2018|Alkhabbas2018|Architecture Description
2018|Antonino2018|Architecture Design Method
2018|Arcaini2018|Architecture Analysis Method
2018|Arcaini2018|Architecture Description Language
2018|Avritzer2018|Architecture Analysis Method
2018|Buchgeher2018|Architecture Analysis Method
2018|Buchgeher2018|Architecture Extraction
2018|Christensen2018|Teaching
2018|Heijenk2018|Architecture Decision Making
2018|Martini2018|Architectural Aspects
2018|Oquendo2018|Architecture Description Language
2018|Power2018|Architecture Design Method
2018|Schneider2018|Architecture Evolution
2018|Spray2018|Reference Architecture
2018|Tuma2018|Architecture Analysis Method
2018|Weyns2018|Architecture Analysis Method
2019|Castellanos2019|Architecture Design Method
2019|Castellanos2019|Architecture Evolution
2019|Malakuti2019|Architecture pattern
2019|Malki2019|Architecture Decision Making
2019|Mattos2019|Architecture Optimization Method
2019|Mayrhofer2019|Reference architecture
2019|Musil2019|Architecture Analysis Method
2019|Ntentos2019|Architecture pattern
2019|Nunes2019|Architectural Aspects
2019|Pigazzini2019a|Architecture Analysis Method
2019|Pigazzini2019a|Architecture Evolution
2019|Power2019|Architecture Design Method
2019|Sanctis2019|Architecture Design Method
2019|Soezer2019|Architectural Aspects
2019|Waegemann2019|Architecture Design Method
2019|Waegemann2019|Architecture Optimization Method
2019|Wu2018|Architecture Evolution
2019|Yasaweerasinghelage2019|Architecture Optimization Method
2020|Aerts2020|Teaching
2020|Almeida2020|Architecture Evolution
2020|Almeida2020|Architecture Optimization Method
2020|Capilla2020|Teaching
2020|Caporuscio2020a|Architecture Description
2020|Caporuscio2020b|Architecture Design Method
2020|Chondamrongkul2020|Architecture Description Language
2020|Cruz2020|Architecture Analysis Method
2020|Dias2020|Architecture Description Language
2020|Giaimo2020|Quality Evolution
2020|Islam2020|Reference Architecture
2020|Koziolek2020|Architecture Design Method
2020|Malakuti2020|Technical Dept
2020|Matias2020|Architecture Design Method
2020|Moghaddam2020|Architecture Optimization Method
2020|Ntentos2020|Architecture Analysis Method
2020|Sanctis2020|Reference Architecture
2020|Verdecchia2020|Architecture Evolution
2020|Verdecchia2020|Technical Dept
2020|Werle2020|Architecture Design Method
